Date,Open,High,Low,Close,Adj Close,Volume
2021-02-22,949.5,951.4500122070312,916.0499877929688,920.1500244140625,807.577392578125,5043203
2021-02-23,924.0,930.0,906.5499877929688,909.9500122070312,798.6251220703125,5916942
2021-02-24,918.0,919.4500122070312,905.5,916.0,803.9349975585938,3435827
2021-02-25,925.9000244140625,934.0499877929688,922.1500244140625,929.25,815.56396484375,6234947
2021-02-26,908.0,925.0,905.0999755859375,909.4500122070312,798.1863403320312,9198218
2021-03-01,916.0,934.4500122070312,915.6500244140625,930.3499755859375,816.529296875,5397960
2021-03-02,933.8499755859375,957.9000244140625,928.5999755859375,953.75,837.0665283203125,6715548
2021-03-03,965.0,968.0,947.0,965.25,847.1596069335938,5742015
2021-03-04,952.0,969.9000244140625,951.3499755859375,958.0,840.7965698242188,6268541
2021-03-05,956.0999755859375,972.0,936.2999877929688,941.5,826.3152465820312,5992152
2021-03-08,952.5,973.0,944.0,961.9000244140625,844.219482421875,5621823
2021-03-09,964.0999755859375,976.9000244140625,949.0999755859375,973.1500244140625,854.0932006835938,5440319
2021-03-10,985.7000122070312,995.0999755859375,979.7000122070312,988.5,867.5651245117188,7694950
2021-03-12,988.5,1002.7999877929688,973.5999755859375,979.25,859.4468994140625,6447010
2021-03-15,977.5,994.3499755859375,967.3499755859375,992.3499755859375,870.944091796875,5321071
2021-03-16,993.0,1018.7999877929688,990.4500122070312,1007.25,884.0213012695312,8094575
2021-03-17,1012.0,1023.9000244140625,982.7000122070312,987.4500122070312,866.6437377929688,6758901
2021-03-18,995.0,999.75,932.4000244140625,947.75,831.8005981445312,8269566
2021-03-19,950.0,969.0,937.7000122070312,960.4500122070312,842.9468383789062,9004154
2021-03-22,960.4500122070312,982.4500122070312,944.5999755859375,978.75,859.008056640625,4745254
2021-03-23,983.6500244140625,992.9000244140625,971.7999877929688,980.8499755859375,860.85107421875,5158305
2021-03-24,971.0499877929688,984.75,965.7999877929688,975.6500244140625,856.2872314453125,3874331
2021-03-25,970.0,974.5,950.0,957.0499877929688,839.9629516601562,4879437
2021-03-26,965.0,975.0,953.7999877929688,958.5499877929688,841.2793579101562,4271178
2021-03-30,965.0,1000.7999877929688,964.4500122070312,995.7999877929688,873.9720458984375,5475000
2021-03-31,1000.0,1000.0,978.6500244140625,982.6500244140625,862.4309692382812,4445140
2021-04-01,992.0,1013.5,990.5999755859375,1002.5999755859375,879.9401245117188,5269079
2021-04-05,1007.0,1040.0,1002.5999755859375,1033.5,907.0598754882812,9452833
2021-04-06,1039.0,1040.5999755859375,1020.25,1028.4000244140625,902.583740234375,4260257
2021-04-07,1031.0,1045.0,1024.699951171875,1037.199951171875,910.30712890625,3551106
2021-04-08,1044.0,1054.4000244140625,1031.6500244140625,1037.5,910.5704956054688,4852068
2021-04-09,1042.0999755859375,1054.800048828125,1034.1500244140625,1045.4000244140625,917.5039672851562,3708082
2021-04-12,1042.949951171875,1042.949951171875,1001.2000122070312,1009.4000244140625,885.9082641601562,5976427
2021-04-13,1012.5,1020.7999877929688,972.2000122070312,983.4000244140625,863.0891723632812,7773994
2021-04-15,968.0,994.7000122070312,958.75,991.9000244140625,870.54931640625,7430279
2021-04-16,1000.0,1016.7999877929688,994.5,1012.75,888.8483276367188,4677808
2021-04-19,996.0,1028.449951171875,987.8499755859375,994.5999755859375,872.9189453125,6239343
2021-04-20,1006.0,1006.0,957.0,961.2999877929688,843.6928100585938,9742418
2021-04-22,966.0,971.9000244140625,955.2999877929688,961.9000244140625,844.219482421875,4970596
2021-04-23,964.0,974.8499755859375,950.2000122070312,955.6500244140625,838.7341918945312,6023490
2021-04-26,940.0,954.5,923.0499877929688,928.7999877929688,815.1690063476562,19619972
2021-04-27,931.0,938.5499877929688,923.4000244140625,928.8499755859375,815.2129516601562,6406825
2021-04-28,931.2000122070312,935.8499755859375,921.75,923.7999877929688,810.7807006835938,6845677
2021-04-29,929.7000122070312,929.7000122070312,907.0999755859375,909.5499877929688,807.0098266601562,8588734
2021-04-30,905.0,915.0,895.4000244140625,898.9500122070312,797.6049194335938,10921664
2021-05-03,898.75,910.4500122070312,891.0,907.7000122070312,805.368408203125,6871176
2021-05-04,910.0,915.0,899.25,900.9500122070312,799.3793334960938,6217026
2021-05-05,903.9500122070312,910.7999877929688,900.5999755859375,909.4000244140625,806.8767700195312,2696835
2021-05-06,912.0,923.9000244140625,901.25,916.0,812.732666015625,6319104
2021-05-07,918.0,921.4000244140625,913.7000122070312,916.4000244140625,813.0875854492188,3651558
2021-05-10,918.0499877929688,921.5999755859375,910.2000122070312,913.9500122070312,810.9138793945312,4029147
2021-05-11,908.5,912.4500122070312,905.0999755859375,907.2999877929688,805.0135498046875,3818154
2021-05-12,906.1500244140625,908.9500122070312,895.0,906.0999755859375,803.9489135742188,4076940
2021-05-14,909.0,912.0,896.5,910.3499755859375,807.7197265625,5184569
2021-05-17,914.5999755859375,927.2000122070312,910.0999755859375,922.1500244140625,818.1893310546875,7956551
2021-05-18,928.0,939.5,924.5,931.5999755859375,826.5738525390625,5913426
2021-05-19,928.0,941.0,925.1500244140625,931.4000244140625,826.3965454101562,4178834
2021-05-20,932.0,934.7999877929688,922.0499877929688,924.4000244140625,820.185791015625,4753782
2021-05-21,925.5,934.6500244140625,923.0,930.6500244140625,825.7311401367188,4161547
2021-05-24,931.5,939.0,927.7000122070312,932.7999877929688,827.6387329101562,4191877
2021-05-25,938.0,943.7999877929688,935.1500244140625,940.5999755859375,834.5592651367188,5032874
2021-05-26,940.0,948.9500122070312,932.5499877929688,945.7999877929688,839.1730346679688,5017674
